epoch,grad_norm,learning_rate,loss,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0,4.99953031539917,4.750527871621622e-05,2.4146,2368,,,,,,,,,,,,,
1.0,,,,2368,2.2002017498016357,0.23546752307199342,0.2058544942028458,0.23408455494391636,0.2341122366484733,471.9988,26.36,1.648,,,,,
2.0,4.3719305992126465,4.500527871621622e-05,1.9331,4736,,,,,,,,,,,,,
2.0,,,,4736,2.111942768096924,0.14001376189670256,0.10465814460394995,0.13913529348779374,0.13913137062632389,472.7585,26.318,1.646,,,,,
3.0,4.206082820892334,4.250527871621622e-05,1.6882,7104,,,,,,,,,,,,,
3.0,,,,7104,2.116610527038574,0.1334639243999923,0.10878551726105315,0.1323653220824156,0.13252668408379503,472.7134,26.32,1.646,,,,,
4.0,4.006399154663086,4.000633445945946e-05,1.4952,9472,,,,,,,,,,,,,
4.0,,,,9472,2.1463992595672607,0.14171763421115313,0.1049338746241544,0.14047073239592633,0.14048803791164932,471.895,26.366,1.649,,,,,
5.0,4.597539901733398,3.7506334459459466e-05,1.3262,11840,,,,,,,,,,,,,
5.0,,,,11840,2.1949594020843506,0.10149263812899553,0.06640190139615681,0.1006071951495536,0.10054393354505817,476.3626,26.119,1.633,,,,,
6.0,4.32389497756958,3.500633445945946e-05,1.1726,14208,,,,,,,,,,,,,
6.0,,,,14208,2.2704267501831055,0.08030103654067902,0.045778283677353586,0.07939490762844467,0.07936977480599926,474.1262,26.242,1.641,,,,,
7.0,4.714262962341309,3.250844594594595e-05,1.0307,16576,,,,,,,,,,,,,
7.0,,,,16576,2.345433235168457,0.07577930928997179,0.04225180469514109,0.07453870412359202,0.07455108933891655,474.2804,26.233,1.64,,,,,
8.0,4.644051551818848,3.0010557432432433e-05,0.9027,18944,,,,,,,,,,,,,
8.0,,,,18944,2.4314684867858887,0.0679681192970461,0.03304006698534456,0.06684819427033953,0.06683604157478565,474.0902,26.244,1.641,,,,,
9.0,4.553731918334961,2.751161317567568e-05,0.7878,21312,,,,,,,,,,,,,
9.0,,,,21312,2.520610809326172,0.0700244995656942,0.034939718072348844,0.06877491716663865,0.06877991561268992,475.6766,26.156,1.636,,,,,
10.0,4.143576622009277,2.5011613175675675e-05,0.6841,23680,,,,,,,,,,,,,
10.0,,,,23680,2.603271722793579,0.057188403848653105,0.02308217875519225,0.05623427887533011,0.05616187413761631,472.6597,26.323,1.646,,,,,
11.0,4.516348361968994,2.251161317567568e-05,0.5918,26048,,,,,,,,,,,,,
11.0,,,,26048,2.6905357837677,0.05863284238881951,0.0239630766020991,0.057447338001676396,0.05743105870828187,476.9501,26.087,1.631,,,,,
12.0,4.1241455078125,2.001266891891892e-05,0.5134,28416,,,,,,,,,,,,,
12.0,,,,28416,2.764259099960327,0.08368081367028962,0.046101749778434994,0.08167054961135625,0.08172935171990656,477.5074,26.056,1.629,,,,,
13.0,4.013585567474365,1.7514780405405407e-05,0.4452,30784,,,,,,,,,,,,,
13.0,,,,30784,2.8439407348632812,0.047802336193283675,0.018656465043031194,0.04665506681674414,0.04666143989110362,473.8563,26.257,1.642,,,,,
14.0,3.4637715816497803,1.5015836148648649e-05,0.3878,33152,,,,,,,,,,,,,
14.0,,,,33152,2.910306930541992,0.06965582300882567,0.03342629789612275,0.06745046124959451,0.06745231995985318,478.9303,25.979,1.624,,,,,
15.0,3.5399982929229736,1.251583614864865e-05,0.3394,35520,,,,,,,,,,,,,
15.0,,,,35520,2.9710309505462646,0.07817804554523922,0.040780473465372384,0.07583326353155431,0.07577089016295907,476.3438,26.12,1.633,,,,,
16.0,3.376911163330078,1.001583614864865e-05,0.2993,37888,,,,,,,,,,,,,
16.0,,,,37888,3.028980255126953,0.07986847141272431,0.04079246318364631,0.07733846399683608,0.07730376875583381,478.1719,26.02,1.627,,,,,
17.0,3.084998846054077,7.516891891891892e-06,0.2702,40256,,,,,,,,,,,,,
17.0,,,,40256,3.0640878677368164,0.08027364775138521,0.041614973720257936,0.0778589324781147,0.07790742055215706,463.0281,26.871,1.68,,,,,
18.0,2.8426616191864014,5.017947635135136e-06,0.2491,42624,,,,,,,,,,,,,
18.0,,,,42624,3.088456153869629,0.07707357305426912,0.037907967767283446,0.07455025268993665,0.07448715589005622,464.9207,26.762,1.673,,,,,
19.0,2.911175012588501,2.517947635135135e-06,0.2387,44992,,,,,,,,,,,,,
19.0,,,,44992,3.1037793159484863,0.0831208142263837,0.042742245420831194,0.0800997500324871,0.08013831438154592,462.4364,26.905,1.682,,,,,
20.0,3.229612112045288,2.0059121621621625e-08,0.2494,47360,,,,,,,,,,,,,
20.0,,,,47360,3.1052277088165283,0.07778557823748115,0.038315765366277565,0.0751306502842298,0.07510863384553831,465.422,26.733,1.672,,,,,
20.0,,,,47360,,,,,,,,,3724.2768,203.427,12.717,1.3714860838147591e+20,0.050372764226552603
