epoch,grad_norm,learning_rate,loss,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0,4.902853488922119,4.750527871621622e-05,2.4309,2368,,,,,,,,,,,,,
1.0,,,,2368,2.1960837841033936,0.2135676286355124,0.17578751071306406,0.21234344722868637,0.21225170910133906,462.35,26.91,1.683,,,,,
2.0,4.325198173522949,4.500527871621622e-05,1.9281,4736,,,,,,,,,,,,,
2.0,,,,4736,2.104450225830078,0.13317102283065135,0.10941130253053277,0.1324570178572387,0.13244045963552456,464.2572,26.8,1.676,,,,,
3.0,4.055988788604736,4.250527871621622e-05,1.6837,7104,,,,,,,,,,,,,
3.0,,,,7104,2.1026790142059326,0.0999455132560747,0.07929117102305493,0.09963824808926311,0.09957634149581167,462.5716,26.897,1.682,,,,,
4.0,4.006380081176758,4.000527871621622e-05,1.4918,9472,,,,,,,,,,,,,
4.0,,,,9472,2.132871150970459,0.06254841674933669,0.04434206639273015,0.06237702418743568,0.06234325819327413,464.839,26.766,1.674,,,,,
5.0,4.328645706176758,3.75073902027027e-05,1.3244,11840,,,,,,,,,,,,,
5.0,,,,11840,2.176177978515625,0.056631104747330505,0.03807829696971457,0.056449507972796936,0.056362241429589385,464.9944,26.757,1.673,,,,,
6.0,4.382082939147949,3.500844594594595e-05,1.1723,14208,,,,,,,,,,,,,
6.0,,,,14208,2.248323917388916,0.05285871359798311,0.03413945491119792,0.05244181851935495,0.05240252884644328,465.0006,26.757,1.673,,,,,
7.0,4.45460844039917,3.250844594594595e-05,1.0333,16576,,,,,,,,,,,,,
7.0,,,,16576,2.3257904052734375,0.044221001444249085,0.02578834173020462,0.04372257651249059,0.04370570248861019,463.2469,26.858,1.679,,,,,
8.0,4.507436275482178,3.000950168918919e-05,0.9068,18944,,,,,,,,,,,,,
8.0,,,,18944,2.408668279647827,0.056594870658784074,0.03549553130516549,0.055546537092985765,0.055560125779463454,461.6139,26.953,1.685,,,,,
9.0,4.566461086273193,2.7510557432432433e-05,0.7923,21312,,,,,,,,,,,,,
9.0,,,,21312,2.4947469234466553,0.07034583668822864,0.04644175029736174,0.06849927370930754,0.06858943107119861,463.3356,26.853,1.679,,,,,
10.0,4.639169692993164,2.5010557432432437e-05,0.6896,23680,,,,,,,,,,,,,
10.0,,,,23680,2.578430652618408,0.048265538955961564,0.027686389546333765,0.0470749239198122,0.04720626215192891,463.9442,26.818,1.677,,,,,
11.0,4.020597457885742,2.251161317567568e-05,0.6002,26048,,,,,,,,,,,,,
11.0,,,,26048,2.662912607192993,0.06206697190591082,0.038521882798451396,0.06019568464464806,0.060296135440733895,461.9219,26.935,1.684,,,,,
12.0,3.9096128940582275,2.001266891891892e-05,0.5222,28416,,,,,,,,,,,,,
12.0,,,,28416,2.733076810836792,0.07111781642479717,0.046265118650271206,0.06896112948980591,0.06896570129118317,460.3423,27.028,1.69,,,,,
13.0,3.7753541469573975,1.751266891891892e-05,0.4559,30784,,,,,,,,,,,,,
13.0,,,,30784,2.809584140777588,0.05537466562304094,0.03261036781408096,0.05342143300650946,0.053544588316215405,461.5334,26.958,1.686,,,,,
14.0,3.8990423679351807,1.5014780405405408e-05,0.4003,33152,,,,,,,,,,,,,
14.0,,,,33152,2.8661046028137207,0.07249471098013988,0.04573816444176228,0.06953196647004706,0.06965640743195074,460.5498,27.016,1.689,,,,,
15.0,3.611021041870117,1.2514780405405404e-05,0.3539,35520,,,,,,,,,,,,,
15.0,,,,35520,2.9340178966522217,0.06076028711787313,0.03688209615770886,0.058511286945210406,0.058634429427116774,460.3728,27.026,1.69,,,,,
16.0,3.303102493286133,1.001583614864865e-05,0.3164,37888,,,,,,,,,,,,,
16.0,,,,37888,2.9763431549072266,0.05511843114539754,0.0317191769359037,0.052975275135174,0.05306257714027285,461.5182,26.959,1.686,,,,,
17.0,3.091630220413208,7.515836148648649e-06,0.2879,40256,,,,,,,,,,,,,
17.0,,,,40256,3.013914108276367,0.0800138560694458,0.05116341524468375,0.07654833402457215,0.07655664429471384,460.8413,26.998,1.688,,,,,
18.0,3.030813694000244,5.017947635135136e-06,0.2694,42624,,,,,,,,,,,,,
18.0,,,,42624,3.0448715686798096,0.07757314239012272,0.049130305247014325,0.07423979297591296,0.07409260859572359,463.2063,26.861,1.68,,,,,
19.0,2.8442256450653076,2.5190033783783786e-06,0.2614,44992,,,,,,,,,,,,,
19.0,,,,44992,3.0590996742248535,0.07835002702232405,0.049127209968952035,0.07471777902865495,0.07464106396478382,463.9596,26.817,1.677,,,,,
20.0,3.271294355392456,2.0059121621621625e-08,0.2707,47360,,,,,,,,,,,,,
20.0,,,,47360,3.058810234069824,0.06212770239246466,0.036423913523983394,0.05935432849455043,0.05926277893262861,464.3991,26.792,1.675,,,,,
20.0,,,,47360,,,,,,,,,12072.3625,62.757,3.923,1.3714860838147591e+20,0.3063481098896748
